"filename","IRT","Average","Greedy","GreedyMean","ICWA","Max","Thres","Cor90","Cor80","Cor70"
"auto6_1_C1_P05_V01_CA0",0.380602222102947,0.396972787290001,0.455853147979174,0.41506091997209,0.413719070366593,0.374644409854544,0.408405345928828,8,18,30
"auto6_1_C1_P05_V01_CA1",0.396489721432022,0.396650743384681,0.394825827921207,0.396543395416242,0.403950405238581,0.413048145563845,0.404030916214911,8,18,26
"auto6_1_C1_P05_V02_CA0",0.46084482851162,0.453223122752402,0.511566743599377,0.473404540819065,0.463474853738393,0.446996940582899,0.461515753314369,8,18,28
"auto6_1_C1_P05_V02_CA1",0.444903655198325,0.43626214373893,0.434759272180774,0.434973968117653,0.442166282003113,0.398046266974397,0.439348397831571,6,18,26
"auto6_1_C1_P05_V03_CA0",0.403682035317482,0.392034780741774,0.40776125811819,0.41119639310826,0.392893564489292,0.389404755515002,0.400515270248511,8,18,30
"auto6_1_C1_P05_V03_CA1",0.401159358059149,0.410230261392303,0.395362567763405,0.4042724491439,0.414094788256132,0.409317803660566,0.426520315603027,8,18,26
"auto6_1_C1_P05_V04_CA0",0.426225108689818,0.427352262358435,0.417100531372444,0.412001502871558,0.445172025119425,0.410981697171381,0.448016746283077,10,18,28
"auto6_1_C1_P05_V04_CA1",0.431753529064462,0.432021898985562,0.42906982985347,0.426547152595137,0.438248081155064,0.393269282378831,0.456497235789813,8,18,26
"auto6_1_C1_P05_V05_CA0",0.468788578176158,0.46454833342279,0.461435242338039,0.473136170897966,0.4610595244485,0.472465246095218,0.480060114862326,10,18,28
"auto6_1_C1_P05_V05_CA1",0.473350866834845,0.46460200740701,0.469164296065697,0.468895926144598,0.45735601953733,0.465782835059846,0.48580323117385,8,18,28
"auto6_1_C1_P05_V06_CA0",0.471096559497612,0.470720841608073,0.483495249852397,0.468681230207718,0.480704202672964,0.47176748430036,0.483012183994418,8,18,30
"auto6_1_C1_P05_V06_CA1",0.472438409103108,0.466104878965166,0.469862057860555,0.463260157801514,0.460522784606301,0.440878106381837,0.487574472653105,8,18,26
"auto6_1_C1_P05_V07_CA0",0.400461596264291,0.401105684074929,0.407009822339112,0.385432880682733,0.399388116579894,0.417744619183082,0.394933175889646,8,18,28
"auto6_1_C1_P05_V07_CA1",0.387955557941066,0.387150448177768,0.379153024529011,0.382427137566422,0.399066072674575,0.396516558424132,0.389619451451881,8,18,26
"auto6_1_C1_P05_V08_CA0",0.459664000858784,0.451720251194246,0.459019913048146,0.464333637485911,0.455209060168536,0.463609038698943,0.443051902742741,8,18,28
"auto6_1_C1_P05_V08_CA1",0.465621813107187,0.470345123718534,0.469271644034137,0.466158552949385,0.481562986420482,0.428774622940261,0.466024367988836,8,18,24
"auto6_1_C1_P05_V09_CA0",0.413289678492835,0.410498631313402,0.413987440287693,0.41146476302936,0.402125489775106,0.408727389834147,0.437469808383876,8,18,30
"auto6_1_C1_P05_V09_CA1",0.416080725672267,0.416993183404004,0.42203853792067,0.4183350330095,0.414148462240352,0.395362567763405,0.400166389351082,6,18,26
"auto6_1_C1_P05_V10_CA0",0.511888787504696,0.508453652514626,0.510171220009661,0.509097740325264,0.506575063066931,0.522945628253985,0.509795502120122,8,18,28
"auto6_1_C1_P05_V10_CA1",0.508936718372605,0.515216574526327,0.515323922494767,0.517470881863561,0.511781439536257,0.504428103698138,0.505662605335194,8,18,26
"auto6_1_C2_P02_V01_CA0",0.549369389842063,0.552096352687195,0.55096011816839,0.551869105783434,0.549823883649585,0.508124076809453,0.577377570730599,8,18,32
"auto6_1_C2_P02_V01_CA1",0.553914327917282,0.539143279172821,0.557436654925577,0.544597204863084,0.508010453357573,0.556073173503011,0.559481877059425,8,18,26
"auto6_1_C2_P02_V02_CA0",0.56550392000909,0.584479036473128,0.543233723440518,0.567208271787297,0.582661061243041,0.603340529485286,0.590841949778434,8,18,32
"auto6_1_C2_P02_V02_CA1",0.591069196682195,0.583797295761845,0.591410067037837,0.580274968753551,0.591978184297239,0.595386887853653,0.569310305647086,8,18,26
"auto6_1_C2_P02_V03_CA0",0.595614134757414,0.617202590614703,0.535620952164527,0.578570616975344,0.620724917622997,0.559709123963186,0.60447676400409,8,18,32
"auto6_1_C2_P02_V03_CA1",0.590614702874673,0.603113282581525,0.576298147937734,0.566185660720373,0.625042608794455,0.57027610498807,0.550164754005227,10,18,26
"auto6_1_C2_P02_V04_CA0",0.604590387455971,0.607203726849222,0.550732871264629,0.585274400636291,0.605953868878537,0.539256902624702,0.605612998522895,8,18,32
"auto6_1_C2_P02_V04_CA1",0.604704010907851,0.58970571525963,0.593000795364163,0.582661061243041,0.603113282581525,0.573457561640723,0.560049994318827,10,18,26
"auto6_1_C2_P02_V05_CA0",0.675491421429383,0.639586410635155,0.660833996136803,0.676968526303829,0.571980456766277,0.654357459379616,0.669583001931599,8,18,30
